Food_items,calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,water,sugars,VegNovVeg,Breakfast,Lunch,Dinner,Vegan
"Cookies, enriched, commercially prepared, butter",467,19,282,16,29,2.22,111,6.1,68.9,0.8,4.6,20.24,0,0,0,1,1
"SPAGHETTIOS, SpaghettiOs A to Z's with Meatballs",95,2.8,238,16,60,0.43,282,4.37,12.7,1.6,78.1,3.17,1,1,0,0,0
"Soup, condensed, canned, tomato beef with noodle",112,3.4,731,0,14,0.89,176,3.55,16.87,1.2,74.08,0,1,1,1,0,0
"Babyfood, strained, creamed, spinach, vegetables",37,1.3,49,0,89,0.62,191,2.5,5.7,1.8,89.6,2.33,0,1,0,0,1
"CAMPBELL'S CHUNKY Soups, Hearty Beef Barley Soup",56,0.9,308,0,10,0.49,129,2.89,8.98,1,86.23,1.17,1,1,1,0,0
"Fruit juice smoothie, GREEN MACHINE, NAKED JUICE",53,0.3,6,0,11,0.42,165,0.6,12.53,0.7,86.25,11.15,0,1,0,0,1
"Crustaceans, home recipe, crab cakes, blue, crab",155,7.5,330,0,105,1.08,324,20.21,0.48,0,71,0,1,0,1,1,0
"Beef, raw, thymus, variety meats and by-products",236,20,96,0,7,2.1,360,12.18,0,0,67.8,0,1,0,1,1,0
"Beef, raw, spleen, variety meats and by-products",105,3,85,0,9,44.55,429,18.3,0,0,77.2,0,1,1,1,0,0
"Beef, raw, tongue, variety meats and by-products",224,16,69,0,6,2.95,315,14.9,3.68,0,64.53,0,1,0,1,1,0
"MURRAY, Chocolate Chip Cookies, SOUTHERN KITCHEN",493,24,493,0,0,3.3,134,5.5,66.5,2.5,3,30.5,0,0,0,1,1
"Fish, drained solids, canned in oil, white, tuna",186,8.1,396,0,4,0.65,333,26.53,0,0,64.02,0,1,0,1,1,0
"Okra, with salt, drained, boiled, cooked, frozen",34,0.2,239,0,74,0.52,184,1.63,6.41,2.1,91.12,2.87,0,1,0,0,1
"CAMPBELL'S Red and White, condensed, Lentil Soup",111,0.8,635,0,32,2.14,270,6.35,19.05,4,71.2,1.59,0,1,1,0,1
"Fish, raw (Alaska Native), coho (silver), salmon",140,5.6,58,0,5,0.55,380,22.56,0,0,69.38,0,1,1,1,0,0
"Crackers, LA MODERNA RIKIS CREAM CRACKERS, cream",464,20,752,0,734,6.64,117,7.19,64.88,2.4,4.48,10.41,0,0,0,1,1
"Cereals ready-to-eat, Honey BUZZERS, MALT-O-MEAL",379,1.7,759,138,14,31.03,121,3.45,89.66,3.4,1.88,37.93,0,1,0,1,1
"Milk, with added vitamin D, 3.25% milkfat, whole",61,3.3,43,51,113,0.03,132,3.15,4.8,0,88.13,5.05,0,1,0,0,1
"Cereals ready-to-eat, KASHI 7 Whole Grain Flakes",337,1.5,291,0,29,2.9,244,11,81.4,11.8,3.3,11.3,0,1,0,1,1
"Beans, with pork and tomato sauce, canned, baked",94,0.9,437,0,56,3.24,295,5.15,18.69,4,73.5,5.67,1,1,0,0,0
"Cereals ready-to-eat, QUAKER Puffed Rice, QUAKER",383,0.9,5,0,9,2.86,116,7.01,87.78,1.4,3.91,0,0,1,1,1,1
"Crustaceans, raw (not previously frozen), shrimp",85,0.5,0,0,0,0,0,20.1,0,0,78.45,0,1,1,0,0,0
"MORNINGSTAR FARMS Veggie Dog, unprepared, frozen",126,1.3,1076,0,19,1.2,37,17.4,11.2,2.3,64,4.4,1,1,1,0,0
"Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal",376,4.1,344,133,22,28.1,289,8.6,84,9.8,2.29,18.5,0,1,0,1,1
"Biscuits, prepared, dry mix, plain or buttermilk",335,12,955,0,185,2.05,188,7.3,48.4,1.8,28.9,0,0,0,0,1,1
"Fish, dry heat, cooked, farmed, Atlantic, salmon",206,12,61,526,15,0.34,384,22.1,0,0,64.75,0,1,0,1,1,0
"Fish, dry heat, cooked, farmed, channel, catfish",144,7.2,119,10,9,0.28,366,18.44,0,0,74.65,0,1,1,1,0,0
"Babyfood, strained, vegetables and bacon, dinner",69,3,49,1,14,0.3,116,1.92,8.81,1.7,85.75,1.77,1,1,0,0,0
KRAFT VELVEETA Pasteurized Process Cheese Spread,303,22,1499,0,466,0.18,335,16.3,9.8,0,45.8,8.1,0,0,0,1,1
"Beans, unprepared, frozen, immature seeds, pinto",170,0.5,92,0,58,3,756,9.8,32.5,5.7,55.8,0,0,0,1,1,1
"Cereals, dry, 1 minute cook time, CREAM OF WHEAT",359,1.5,7,0,801,29.75,151,11.77,72.63,4.4,11.41,0.51,0,1,0,1,1
"Veal, raw, tongue, variety meats and by-products",131,5.5,82,0,7,2.72,271,17.18,1.91,0,74.53,0,1,1,1,0,0
"Lamb, raw, tongue, variety meats and by-products",222,17,78,0,9,2.65,257,15.7,0,0,66.6,0,1,0,1,1,0
"Chicken, raw, meat only, leg, broilers or fryers",120,4.2,96,1,10,0.78,238,19.16,0,0,76.41,0,1,1,1,0,0
"Babyfood, junior, vegetables and chicken, dinner",53,1.1,34,2,27,0.33,83,2.04,8.66,1.1,87.76,1.46,1,1,1,0,0
"Pork sausage, unheated, fully cooked, link/patty",392,37,810,48,16,0.92,211,13.46,0.69,0,45.96,0.53,1,1,0,1,0
"Cereals ready-to-eat, KELLOGG'S CRISPIX, KELLOGG",378,0.8,660,138,9,28,71,6.59,87.19,1,3,12.8,0,1,0,1,1
"Chicken, barbecue flavored, glazed, frozen, wing",211,13,615,0,28,2.41,190,19.67,3.34,0.6,61.79,2.04,1,0,1,1,0
"PIZZA HUT 12"" Cheese Pizza, THIN 'N CRISPY Crust",303,14,784,0,278,1.71,191,15.29,28.64,1.6,38.77,2.67,0,0,1,1,1
"Soup, chunk style, low sodium, beef and mushroom",69,2.3,25,0,13,0.97,140,4.3,9.58,0.2,83.3,0.84,1,1,1,0,0
"Sweet potato, drained solids, syrup pack, canned",108,0.3,39,0,17,0.95,193,1.28,25.36,3,72.47,5.74,0,1,1,0,1
"Macaroni and cheese loaf, pork and beef, chicken",228,15,3,0,122,1.2,313,11.76,11.63,0,57.63,0,1,0,1,1,0
"Cereals ready-to-eat, COCOA PUFFS, GENERAL MILLS",383,5.2,564,148,370,16.7,272,5.6,83.7,5.7,1.8,37.2,0,1,0,1,1
"Cereals ready-to-eat, plain, toasted, wheat germ",382,11,4,0,45,9.09,947,29.1,49.6,15.1,5.6,7.8,0,1,0,1,1
"Soup, ready-to-serve, chunky, canned, minestrone",53,1.2,288,0,25,0.74,255,2.13,8.64,2.4,86.72,2.17,0,1,1,0,1
"Fish, with skin (Alaska Native), cooked, halibut",113,2.7,86,0,33,0.36,501,22.13,0,0,72.82,0,1,1,1,0,0
"Steelhead trout, flesh (Shoshone Bannock), dried",382,8.1,2850,628,85,2.96,1720,77.27,0,0,6.49,0,0,0,0,1,1
"Fish, raw (Alaska Native), sockeye (red), salmon",153,7.3,60,0,7,0.53,360,21.94,0,0,69.64,0,1,0,1,1,0
"USDA Commodity, cooked, frozen, turkey taco meat",148,7.6,632,0,69,1.8,297,16.8,3.03,0,70,0,1,1,1,0,0
"Pasta, as purchased, spinach, fresh-refrigerated",289,2.1,27,0,43,3.3,272,11.26,55.72,0,30.1,0,0,0,1,1,1
"Sauce, ready-to-serve, spaghetti/marinara, pasta",50,1.6,437,0,26,0.73,320,1.39,7.43,1.8,87.87,4.91,0,1,1,0,1
"PIZZA HUT 14"" Pepperoni Pizza, Hand-Tossed Crust",291,13,759,0,166,2.71,207,12.23,32.11,2.6,40.15,2.82,0,0,1,1,1
"KELLOGG'S, Honey Oat, Waffles, NUTRI-GRAIN, EGGO",268,8.6,544,0,184,6.4,139,6.6,44.1,3.8,37.5,10.5,1,1,0,1,0
"KELLOGG'S, Blueberry, Waffles, NUTRI-GRAIN, EGGO",257,7.8,527,0,143,6.4,151,6.2,43.6,3.9,39.25,10,1,1,0,1,0
"Cereals, dry, Whole Wheat Natural Cereal, QUAKER",333,2,8,0,44,3.3,502,11.8,74.8,9.9,9.8,2,0,1,0,1,1
"OLIVE GARDEN, cheese ravioli with marinara sauce",159,5.6,269,0,121,0.96,184,7.44,19.64,1.1,65.96,4.85,0,0,1,1,1
McDONALD'S Bacon Ranch Salad with Crispy Chicken,122,6.3,273,0,46,0.61,0,8.82,6.08,1,77.38,1.53,1,1,1,0,0
"Coffeecake, dry mix, cinnamon with crumb topping",436,12,596,0,148,1.9,87,4.8,77.7,1.8,3.3,42.52,0,1,0,1,1
"Coffeecake, creme-filled with chocolate frosting",331,11,323,0,38,0.51,78,5,53.8,2,29.1,0,0,1,0,1,1
"Veal, roasted, cooked, separable lean only, loin",175,6.9,96,0,21,0.85,340,26.32,0,0,64.59,0,0,0,1,1,1
"Veal, braised, cooked, separable lean only, loin",226,9.2,84,0,32,1.1,297,33.57,0,0,56.96,0,0,0,1,1,1
"Mollusks, moist heat, cooked, unspecified, whelk",275,0.8,412,0,113,10.06,694,47.68,15.52,0,32,0,0,0,0,1,1
"Veal, raw, separable lean and fat, arm, shoulder",132,5.4,83,0,21,1,327,19.34,0,0,74.05,0,0,1,1,0,1
"Fruit juice smoothie, strawberry banana, ODWALLA",48,0.3,2,0,10,0.2,201,0.5,11.05,0.6,87.74,9.9,0,1,0,0,1
"Turkey, roasted, cooked, light meat, all classes",147,2.1,99,10,9,0.71,249,30.13,0,0,67.88,0,1,1,1,0,0
"DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",328,19,783,0,236,1.13,224,13.88,25.35,2.6,38.53,3.65,0,0,1,1,1
"SUNSHINE, Soup & Oyster Crackers (large), KRISPY",416,9.3,1536,0,0,4.9,147,8.6,76.1,2.6,2.5,2.4,0,0,1,1,1
"Lamb, raw, seam fat, fresh, imported, Australian",459,44,55,0,6,0.98,126,15.65,0,0,40.32,0,1,0,0,1,0
"KELLOGG'S, Original, French Toaster Sticks, EGGO",239,7,598,2,111,5,70,5.3,39.4,0.9,44.99,10.9,1,1,1,1,0
"KASHI, Frozen Entree, Sesame Chicken, STEAM MEAL",110,3.5,233,0,26,1,204,6.1,15.7,2.9,73.2,3,1,1,1,0,0
"KELLOGG'S, Cinnamon, French Toaster Sticks, EGGO",250,6.9,550,2,111,5,66,4.8,42.6,1,42.44,16.2,1,1,1,1,0
"Pork sausage rice links, cooked, brown and serve",407,38,689,36,15,1.12,212,13.7,2.36,0,44.1,0,1,1,1,1,0
"Kale, with salt, drained, boiled, cooked, frozen",30,0.5,251,0,138,0.94,321,2.84,5.23,2,90.5,1.34,0,1,0,0,1
"Kale, with salt, drained, boiled, cooked, scotch",28,0.4,281,0,132,1.93,274,1.9,5.62,0,91.2,0,0,1,0,0,1
"Snacks, without peanuts, caramel-coated, popcorn",431,13,206,0,43,1.74,109,3.8,79.1,5.2,2.8,53.19,0,1,0,1,1
"McDONALD'S, Premium Crispy Chicken Club Sandwich",250,12,472,0,92,1.32,0,15.38,22.61,1.2,48.02,4.99,1,0,1,1,0
"Seeds, dried (decorticated), sesame seed kernels",631,61,47,0,60,6.36,370,20.45,11.73,11.6,3.75,0.48,0,0,0,1,1
"Salad dressing, reduced calorie, french dressing",227,13,804,0,11,0.4,79,0.4,27,0,59,25.92,0,0,1,1,1
"Rice and vermicelli mix, unprepared, beef flavor",359,1.3,1337,0,32,2.82,169,10.84,76.02,1.6,8.27,4.27,1,0,1,1,0
"Fish, drained solids, canned in oil, light, tuna",198,8.2,416,269,13,1.39,207,29.13,0,0,59.83,0,1,0,1,1,0
"PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",306,13,857,0,284,2.52,197,13.37,34.22,2.4,36.27,3.13,0,0,1,1,1
"Soup, canned, HEALTHY CHOICE Chicken Noodle Soup",41,0.6,195,0,8,0,0,3.69,5.2,0.8,89.73,0.57,1,1,1,0,0
"Cereals, dry, quick, white, hominy grits, QUAKER",348,1.2,1,0,2,4.42,137,8.8,79.6,4.8,10,0.3,0,1,0,1,1
"Babyfood, prepared with whole milk, rice, cereal",85,3.4,42,47,168,3.63,151,3.45,10.31,0,81.96,4.87,0,1,1,0,1
"Cereals ready-to-eat, SWEET CRUNCH/QUISP, QUAKER",406,6.1,740,0,9,18.35,187,4.51,85.03,2.3,2,43.36,0,1,0,1,1
"Turkey, raw, meat and skin, breast, retail parts",155,7.5,72,12,9,0.77,247,21.88,0,0,70.98,0,1,0,1,1,0
"School Lunch, whole grain breaded, chicken patty",246,14,467,12,34,3.77,278,17.64,12.5,2.3,53.84,0.55,1,0,1,1,0
"Sea lion, meat with fat (Alaska Native), Steller",242,15,80,0,6,9.55,346,22.1,5.55,0,56.8,0,1,0,1,1,0
"Fish, dry heat, cooked, mixed species, sea bass",124,2.6,87,0,13,0.37,328,23.63,0,0,72.14,0,1,1,1,0,0
"English muffins, mixed-grain (includes granola)",235,1.8,298,0,196,3.02,156,9.1,46.3,2.8,40.2,0.81,0,1,1,1,1
"Chicken, roasted, meat only, broilers or fryers",190,7.4,86,5,15,1.21,243,28.93,0,0,63.79,0,1,0,1,1,0
"Broccoli, without salt, drained, boiled, cooked",35,0.4,41,0,40,0.67,293,2.38,7.18,3.3,89.25,1.39,0,1,0,0,1
"Turkey, raw, meat only, drumstick, retail parts",118,4,87,17,10,1.18,220,20.52,0,0,75.67,0,1,1,1,0,0
"Succotash, unprepared, frozen, (corn and limas)",93,0.9,45,0,16,0.94,295,4.31,19.94,4,74.11,0,0,1,0,0,1
"HEINZ, frozen, Chocolate Eclair, WEIGHT WATCHER",241,6.9,300,0,48,0.7,0,4.4,40.3,2.1,47.3,16.8,0,0,1,1,1
"Babyfood, strained, vegetables and lamb, dinner",52,2,20,0,12,0.35,94,2,6.9,1.1,88.6,0.94,1,1,0,0,0
"Cookies, with lemon juice and rind, ladyfingers",365,9.1,147,22,47,3.58,113,10.6,59.7,1,19.5,25.39,0,1,0,1,1
"Beef, raw, lungs, variety meats and by-products",92,2.5,198,0,10,7.95,340,16.2,0,0,79.38,0,1,1,0,0,0
"Cereals, dry, QUAKER MultiGrain Oatmeal, QUAKER",334,2.7,7,0,36,2.88,322,12.64,72.62,11.9,10.35,2.46,0,1,0,1,1
"Sausage, reduced sodium, and beef, turkey, pork",284,27,679,3,24,1.6,240,10.71,0.11,0.1,60.08,0.02,1,1,0,1,0
"Lupins, with salt, boiled, cooked, mature seeds",116,2.9,240,0,51,1.2,245,15.57,9.29,2.8,71.08,0,0,1,1,0,1
"Snacks, unsalted, plain, brown rice, rice cakes",387,2.8,26,0,11,1.49,290,8.2,81.5,4.2,5.8,0.88,0,0,1,1,1
"Candies, prepared-from-recipe, chocolate, fudge",411,10,45,0,49,1.77,134,2.39,76.44,1.7,9.81,73.12,0,0,0,1,1
CAMPBELL'S Homestyle Italian-Style Wedding Soup,49,1.4,322,0,16,0.44,0,2.86,6.12,0.8,89.2,1.22,0,1,1,0,1
"Rice, enriched, raw, regular, long-grain, white",365,0.7,5,0,28,4.31,115,7.13,79.95,1.3,11.62,0.12,0,0,1,1,1
"Lamb, raw, heart, variety meats and by-products",122,5.7,89,0,6,4.6,316,16.47,0.21,0,76.71,0,1,1,1,0,0
"Veal, raw, heart, variety meats and by-products",110,4,77,0,5,4.24,261,17.18,0.08,0,77.69,0,1,1,1,0,0
"Lamb, raw, liver, variety meats and by-products",139,5,70,0,7,7.37,313,20.38,1.78,0,71.37,0,1,1,1,0,0
"Nuts, toasted, dried (desiccated), coconut meat",592,47,37,0,27,3.39,554,5.3,44.4,0,1,0,1,1,0,1,0
"Fast foods, with crispy chicken fillet, biscuit",300,15,868,4,44,1.76,206,11.93,30.56,1.4,39.4,2.62,1,0,1,1,0
"POPEYES, Skin and Breading, Mild, Fried Chicken",433,32,769,0,26,1.73,192,13.96,21.54,1,29.63,0,1,0,1,1,0
"Pasta, cooked, corn and rice flour, gluten-free",179,1,4,0,2,0.22,24,3.2,38.05,1.4,57.67,0,0,0,1,1,1
"McDONALD'S, FILET-O-FISH (without tartar sauce)",243,7.6,464,0,128,1.64,194,12.47,31.08,1,46.9,4.27,1,0,1,1,0
"Soup, condensed, canned, bean with frankfurters",142,5.3,831,0,66,1.78,363,7.6,16.75,4.6,67.7,0,0,1,1,0,1
"Chicken, roasted, cooked, meat and skin, capons",229,12,49,0,14,1.49,255,28.96,0,0,58.7,0,1,0,1,1,0
"Potatoes, unprepared, plain, frozen, hash brown",82,0.6,22,0,10,0.98,285,2.06,17.72,1.4,78.85,0,0,1,0,0,1
"CAMPBELL'S CHUNKY Soups, Split Pea 'N' Ham Soup",78,1,318,0,8,0.59,0,4.9,12.24,2,81,2.04,1,1,1,0,0
"Babyfood, junior, vegetables and turkey, dinner",53,1.7,45,0,16,0.36,98,1.72,7.55,0.9,88.5,1.36,1,1,0,0,0
"Babyfood, strained, macaroni and cheese, dinner",67,2.1,119,2,66,0.21,67,3.14,8.95,0.7,85.25,1.27,0,1,0,0,1
"Nuts, creamed, dried (desiccated), coconut meat",684,69,37,0,26,3.36,551,5.3,21.52,0,1.67,0,1,1,0,1,0
"Cereals ready-to-eat, KASHI 7 Whole Grain Puffs",336,2.3,9,0,38,3,277,13,78.6,8,4,0.93,0,1,0,1,1
"KELLOGG'S, Pumpkin Spice, Waffles, EGGO Seasons",296,12,540,1,143,6.4,86,5.5,41.4,1.5,37.5,9.2,1,1,0,1,0
"KELLOGG'S, Original, Waffles, NUTRI-GRAIN, EGGO",239,8.3,567,0,143,6.4,157,6.6,37.6,3.9,44.3,3.6,1,1,1,1,0
"Veal, braised, cooked, separable lean only, rib",218,7.8,99,0,24,1.45,318,34.44,0,0,56.08,0,0,0,1,1,1
"Veal, roasted, cooked, separable lean only, rib",177,7.4,97,0,12,0.96,311,25.76,0,0,64.64,0,0,0,1,1,1
"Rennin, prepared with 2% milk, dry mix, vanilla",77,1.8,46,37,121,0.05,142,3.06,12.34,0,82.11,0,0,1,0,0,1
"Yogurt, DANNON OIKOS, strawberry, nonfat, Greek",84,0.2,33,40,94,0.06,145,8.03,12.53,0.4,78.63,11.63,0,1,0,0,1
"Cookies, chocolate cream covered biscuit sticks",447,23,213,0,50,0.9,181,10,51.08,5,15.09,25,0,0,0,1,1
"Crustaceans, raw, wild, mixed species, crayfish",77,1,58,0,27,0.84,302,15.97,0,0,82.24,0,1,1,0,0,0
"KASHI Pesto Pasta Primavera, unprepared, frozen",101,3.8,265,0,65,0.9,143,3.8,13,2.4,77.9,1.4,0,1,1,0,1
"Candies, CRUNCH Bar and Dessert Topping, NESTLE",500,26,150,0,100,0.7,305,5,67,1.9,0.65,55,0,0,0,1,1
"Veal, raw, separable lean only, leg (top round)",107,1.8,64,0,5,0.8,372,21.28,0,0,75.82,0,0,1,1,0,1
"Beef, raw, brain, variety meats and by-products",143,10,126,0,43,2.55,274,10.86,1.05,0,76.29,0,1,1,1,0,0
"Squash, raw, crookneck and straightneck, summer",19,0.3,2,0,21,0.44,222,1.01,3.88,1,94.28,2.88,0,1,0,0,1
"Seeds, partially defatted, sunflower seed flour",326,1.6,3,0,114,6.62,67,48.06,35.83,5.2,7.47,0,0,0,0,1,1
"Seaweed, dry, Canadian Cultivated EMI-TSUNOMATA",259,1.4,4331,126,299,66.38,2944,15.34,46.24,36.7,14,0,0,0,0,1,1
"Cocoa mix, Rich Chocolate Hot Cocoa Mix, NESTLE",400,15,850,0,100,1.8,0,3,75,4,3.73,60,0,0,0,1,1
"Milk dessert bar, made from lowfat milk, frozen",147,1.5,92,5,184,0.53,316,4.41,33.09,6.6,61.43,22.06,0,1,1,0,1
"Fish, dry heat, cooked, mixed species, sturgeon",135,5.2,69,515,17,0.9,364,20.7,0,0,69.94,0,1,1,1,0,0
"Seeds, roasted and toasted, whole, sesame seeds",565,48,11,0,989,14.76,475,16.96,25.74,14,3.3,0,0,1,0,1,1
"Candies, DOVE Dark Chocolate, MARS SNACKFOOD US",520,32,4,0,37,3.18,0,5.19,59.4,7.6,1.66,46.27,0,0,0,1,1
"Candies, DOVE Milk Chocolate, MARS SNACKFOOD US",546,32,63,0,160,1.11,0,5.94,59.78,2.4,1.61,55.45,0,0,0,1,1
"Chicken, simmered, cooked, all classes, gizzard",154,2.7,56,0,17,3.19,179,30.39,0,0,67.93,0,1,0,1,1,0
"Parsnips, without salt, drained, boiled, cooked",71,0.3,10,0,37,0.58,367,1.32,17.01,3.6,80.24,4.8,0,1,0,0,1
"Beans, with pork and sweet sauce, canned, baked",105,0.9,391,0,39,1.4,231,4.52,21.57,4.4,71.48,8.23,1,1,1,0,0
"Babyfood, strained, vegetables and beef, dinner",77,3.6,31,1,17,0.35,145,2.21,8.84,1.3,84.94,2.34,1,1,0,0,0
"Turkey, raw, meat only, from whole bird, breast",114,1.5,113,5,11,0.73,242,23.66,0.14,0,74.89,0.05,1,1,1,0,0
"Turkey, raw, meat and skin, thigh, retail parts",161,9.2,75,21,4,1.31,239,19.54,0,0,71.28,0,1,0,1,1,0
"Margarine-like spread, SMART BEAT Smart Squeeze",47,2.1,829,0,0,0,26,0,7.1,0,87.91,1,0,1,0,0,1
"Snacks, all flavors, DIPPS, QUAKER, granola bar",480,20,269,3,65,1.16,231,7.52,64.96,3.2,5.56,37.61,0,0,0,1,1
"CAMPBELL'S Soup on the Go, Creamy Broccoli Soup",52,3.6,289,0,13,0.12,0,0.66,4.26,1,90.2,1.31,0,1,1,0,1
"CAMPBELL'S Soup on the Go, Chicken & Stars Soup",23,0.5,315,0,7,0.12,0,0.98,3.28,0.3,94,0.33,1,1,1,0,0
"Cereals, with salt, cooked with water, WHEATENA",59,0.5,238,0,80,0.56,77,2.03,11.74,2,85.4,0.25,0,1,0,0,1
"Babyfood, mixed fruit juice with low fat yogurt",76,0.8,36,1,81,0.2,137,2.4,14.68,0.4,81.5,10.8,0,1,0,0,1
"Chicken, raw, meat and skin, broilers or fryers",215,15,70,10,11,0.9,189,18.6,0,0,65.99,0,1,0,1,1,0
"Cauliflower, with salt, drained, boiled, cooked",23,0.5,242,0,16,0.32,142,1.84,4.11,2.3,93,1.86,0,1,0,0,1
"Crackers, with whole wheat, standard snack-type",463,18,748,0,167,3.65,209,7.29,68.37,4.9,2.73,10.43,0,0,0,1,1
"Caribou, raw (Alaska Native), hind quarter meat",122,3.4,52,0,5,4.1,320,22.63,0,0,72.6,0,1,1,1,0,0
"KEEBLER, Original Crackers, TOPPERS, TOWN HOUSE",483,21,967,0,0,3.8,112,7.6,66.8,2.6,2.2,8,0,0,0,1,1
"Chicken, raw, separable fat, broilers or fryers",629,68,32,130,7,0.7,64,3.73,0,0,28.91,0,1,0,1,1,0
"Lamb, raw, lungs, variety meats and by-products",95,2.6,157,0,10,6.4,238,16.7,0,0,79.7,0,1,1,0,0,0
"Veal, raw, lungs, variety meats and by-products",90,2.3,108,0,7,5.23,274,16.3,0,0,80.5,0,1,1,0,0,0
"Veal, raw, liver, variety meats and by-products",140,4.9,77,0,5,6.4,308,19.93,2.91,0,70.89,0,1,1,1,0,0
"Cereals ready-to-eat, HONEY GRAHAM OH!S, QUAKER",412,7.6,679,0,11,19.52,167,3.92,83.65,2.1,2.75,43.23,1,1,0,1,0
"Fish, dry heat, cooked, mixed species, seatrout",133,4.6,74,0,22,0.35,437,21.46,0,0,71.91,0,1,1,1,0,0
"Candies, SNICKERS Almond bar, MARS SNACKFOOD US",472,22,156,0,132,0.85,0,5.4,64.67,2.6,5.45,53.93,0,0,0,1,1
"Turkey, smoked, low fat, and beef sausage, pork",101,2.5,796,3,10,2.2,243,8,11.54,0.6,76.3,0,1,1,1,0,0
"Oil, 80% diglycerides, ENOVA, cooking and salad",884,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Goose, roasted, cooked, meat only, domesticated",238,13,76,0,14,2.87,388,28.97,0,0,57.23,0,1,0,1,1,0
"Beverages, KELLOGG'S SPECIAL K20 protein powder",380,0.6,280,0,115,2,490,35.2,58.4,37.5,3.95,2,0,0,0,1,1
"Lamb, raw, brain, variety meats and by-products",122,8.6,112,0,9,1.75,296,10.4,0,0,79.2,0,1,1,1,0,0
"Veal, raw, brain, variety meats and by-products",118,8.2,127,0,10,2.13,315,10.32,0,0,79.78,0,1,1,1,0,0
"McDONALD'S, NEWMAN'S OWN Creamy Caesar Dressing",319,32,851,0,104,0.28,27,3.56,6.85,0.1,54.9,3,0,0,0,1,1
"Fish, raw, flatfish (flounder and sole species)",70,1.9,296,113,21,0.18,160,12.41,0,0,84.63,0,1,1,0,0,0
"Egg custards, prepared with whole milk, dry mix",122,4,84,47,139,0.34,207,3.99,17.6,0,73.45,4.82,1,1,1,0,0
"Soup, reduced sodium, condensed, canned, tomato",65,0.6,22,0,13,1.11,229,1.61,13.41,1.2,82.5,8.11,0,1,1,0,1
"Cereals ready-to-eat, Wheat CHEX, GENERAL MILLS",345,1.8,570,85,213,30.6,369,9.8,82.2,12.2,2.5,10.3,0,1,0,1,1
"Steelhead trout, canned (Alaska Native), boiled",159,8.3,118,604,30,0.64,365,21.11,0,0,70.59,0,0,0,1,1,1
"Thuringer, pork, beef, summer sausage, cervelat",362,30,1300,44,9,2.04,260,17.45,3.33,0,45.18,0.85,1,1,0,1,0
"Cereals ready-to-eat, GOLDEN PUFFS, MALT-O-MEAL",370,0.9,204,151,11,7.92,204,5.77,89.72,2.6,2.76,51.34,0,1,0,1,1
"Chicken, stewed, cooked, meat and skin, stewing",285,19,73,0,13,1.37,182,26.88,0,0,53.07,0,1,0,1,1,0
"Elk, raw (Shoshone Bannock), ground, free range",97,1.8,49,0,4,7.17,328,20.14,0,0,75.68,0,0,1,0,0,1
"SPAGHETTIOS, Spaghetti in Tomato & Cheese Sauce",80,0.6,377,0,8,0.29,0,2.78,15.87,1.2,79.7,5.16,0,1,0,0,1
"Beef, raw, ribs prepared, imported, New Zealand",146,6.8,54,7,15,1.82,337,21.31,0,0,71.32,0,1,1,1,0,0
"Beef, raw, tripe, variety meats and by-products",85,3.7,97,0,69,0.59,67,12.07,0,0,84.16,0,1,1,0,0,0
"Oil, fully hydrogenated, cottonseed, industrial",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Waffle, microwave, ready-to-heat, frozen, plain",298,9.9,682,0,197,5.81,148,6.71,45.41,2.4,34.95,5.04,0,0,0,1,1
"KEEBLER, Chocolate Lovers Cookies, CHIPS DELUXE",508,27,417,7,0,3.6,200,5.5,63,3.1,3,34,0,0,0,1,1
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400,12,331,0,28,2.26,159,4.67,68.16,2.1,13.49,34.27,0,1,0,1,1
"Sweet potato leaves, with salt, steamed, cooked",35,0.3,249,0,33,0.63,312,2.18,7.38,1.9,89.2,5.48,0,1,0,0,1
"PAPA JOHN'S 14"" The Works Pizza, Original Crust",240,10,570,0,99,1.5,160,10.27,26.69,2.5,50.57,4.84,0,0,1,1,1
"Beef, raw, heart, variety meats and by-products",112,3.9,98,0,7,4.31,287,17.72,0.14,0,77.11,0,1,1,1,0,0
"Beef, raw, liver, variety meats and by-products",135,3.6,69,49,5,4.9,313,20.36,3.89,0,70.81,0,1,1,1,0,0
"Noodles, with added salt, enriched, cooked, egg",138,2.1,165,0,12,1.47,38,4.54,25.16,1.2,67.73,0.4,1,1,1,0,0
"Mollusks, fried, cooked, mixed species, abalone",189,6.8,591,0,37,3.8,284,19.63,11.05,0,60.1,0,0,0,1,1,1
"CAMPBELL'S CHUNKY Soups, Manhattan Clam Chowder",52,1.4,339,0,16,0.44,0,2.04,7.76,1.2,87.9,1.63,0,1,1,0,1
"PAPA JOHN'S 14"" Pepperoni Pizza, Original Crust",275,12,671,0,152,1.98,150,11.97,30.04,1.2,43.6,4.84,0,0,1,1,1
"Waffles, toasted, ready -to-heat, frozen, plain",312,9.6,730,0,307,6.91,144,7.19,49.29,2.4,30.59,5.02,0,1,0,1,1
